titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
administrativo/a de tesorería / pt 20 horas / falabella la serena,banco falabella,Presencial,Full time,Otros,No especificado,False,False,153
administrativo/a de tesorería / pt 20 horas / falabella la serena,falabella la serena,Presencial,Full time,Otros,No especificado,False,False,153
"administrativo/a de tesorería mjt 30horas, falabella la serena.",banco falabella,Presencial,Full time,Otros,No especificado,False,False,153
"administrativo/a de tesorería mjt 30horas, falabella la serena.",falabella la serena,Presencial,Full time,Otros,No especificado,False,False,153
administrativo/a de transporte secundario (t2) - lo espejo,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
administrativo/a,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrativo,"c&amp;f ingeniería y proyectos.., temuco",Presencial,Full time,Otros,No especificado,False,False,107
administrativo,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrativo,maxig servicios spa,Presencial,Full time,Otros,No especificado,False,False,94
adminsitrativo/a logistico (rubro telecomunicaciones) - calama,sucursal antofagasta,Presencial,Otro,Otros,No especificado,False,False,159
agencia de marketing busca vendedora con…,"5 digital spa, santiago",Presencial,Full time,Data / BI,No especificado,False,False,102
agente administrativo back office / santiago,agente administrativo back office / santiago,Presencial,Full time,Otros,No especificado,False,False,149
agente comercial - logística y transporte,empresa destacada,Presencial,Full time,Ventas / Comercial,No especificado,False,False,33
agente inmobiliario temuco,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,135
agente inmobiliario que si vende (la serena),hyc asociados,Presencial,Full time,Otros,No especificado,False,False,150
agente inmobiliario: altas comisiones y horarios flexibles,hyc asociados,Presencial,Full time,Otros,No especificado,False,False,153
agente previsional (la serena),afp habitat,Presencial,Full time,Otros,No especificado,False,False,120
agente previsional: ventas en campo y asesoría,afp habitat,Presencial,Full time,Ventas / Comercial,No especificado,False,False,145
agente service desk informático - trabajo en santiago centro,importante empresa del sector,Presencial,Full time,Otros,No especificado,True,False,153
agente service desk informático,agente service desk informático,Presencial,Full time,Otros,No especificado,True,False,153
agente soporte al cliente,no especificada,Presencial,Full time,Otros,No especificado,True,False,24
agente de contact center para aerolínea…,"bluelink international chile, santiago",Presencial,Full time,Otros,No especificado,False,False,99
agente de customer care (retención),no especificada,Remoto,Full time,Otros,No especificado,False,True,24
agente de soporte n2 bilingüe,no especificada,Híbrido,Full time,Otros,No especificado,True,False,24
agente de venta part time la serena,flix chile,Presencial,Part time,TI General,No especificado,False,False,123
agente de venta part time santiago,flix chile,Presencial,Part time,TI General,No especificado,False,False,121
agente de venta en terreno,inmobiliaria parque la florida s.a,Presencial,Otro,Ventas / Comercial,No especificado,False,False,147
agente de ventas (cierre comercial),no especificada,Remoto,Full time,Ventas / Comercial,No especificado,False,True,24
agente de ventas - la serena,inmobiliaria parque la florida,Presencial,Full time,Ventas / Comercial,No especificado,False,False,128
agente de ventas afp capital #032025 (la serena),afp capital,Presencial,Full time,Ventas / Comercial,No especificado,False,False,149
agente de ventas cierre comercial,no especificada,Remoto,Full time,Ventas / Comercial,No especificado,False,True,24
agente de ventas de salud satiango,empresa destacada,Presencial,Full time,Salud,No especificado,False,False,28
agente de ventas en terreno la serena,inmobiliaria parque la florida s.a.,Presencial,Full time,Ventas / Comercial,No especificado,False,False,151
agente de ventas y atención al pasajero – part time,flix chile,Presencial,Part time,TI General,No especificado,False,False,153
agente de ventas,no especificada,Remoto,Full time,Ventas / Comercial,No especificado,False,True,24
agente de ventas,bicevida,Presencial,Full time,Ventas / Comercial,No especificado,False,False,82
almuno en práctica - osorno - administración,logistica s a,Presencial,Full time,Otros,No especificado,False,False,129
alumno (a) en práctica - psicología organizacional,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
alumno practica administración recursos humanos,alumno practica administración recursos humanos,Presencial,Full time,Recursos Humanos,No especificado,False,False,138
alumno práctica - gastronomía,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,34
alumno en práctica / administración de empresas / grupo colchagua,alumno en práctica / administración de empresas / grupo colchagua,Presencial,Full time,Otros,No especificado,False,False,122
alumno en práctica administración de empresas,alumno en práctica administración de empresas,Presencial,Full time,Otros,No especificado,False,False,118
alumno en práctica ingeniería industrial,no especificada,Presencial,Full time,Otros,No especificado,False,False,24
alumno en práctica soporte informático,alumno en práctica soporte informático,Presencial,Full time,Otros,No especificado,True,False,138
alumno en practica ingenieria comercial o administracion,n & s consulting,Presencial,Full time,Data / BI,No especificado,False,False,153
alumno en practica para administración o contabilidad,asiste,Presencial,Full time,Otros,No especificado,False,False,144
alumno en práctica - recursos humanos,empresa destacada,Presencial,Full time,Recursos Humanos,No especificado,False,False,39
alumno en práctica administración,petricio industrial s.a.,Presencial,Full time,Otros,No especificado,False,False,128
alumno en práctica rrhh / selección de personas,alumno en práctica rrhh / selección de personas,Presencial,Full time,Recursos Humanos,No especificado,False,False,152
"alumno en práctica salud, logística o administración","alumno en práctica salud, logística o administración",Presencial,Full time,Salud,No especificado,False,False,153
"alumno en práctica salud, logística o administración",myra salud,Presencial,Full time,Salud,No especificado,False,False,146
alumno en práctica,alumno en práctica,Presencial,Full time,Otros,No especificado,False,False,98
alumno(a) en practica profesional administracion de recursos,alumno(a) en practica profesional administracion de recursos,Remoto,Full time,Otros,No especificado,False,True,153
alumno/a en practica - ingeniería modelo de gestión,parnes,Presencial,Full time,Otros,No especificado,False,False,153
alumno/a en práctica administración las condes,alumno/a en práctica administración las condes,Presencial,Full time,Otros,No especificado,False,False,107
alumnos en práctica /sodimac hc la calera,sodimac chile,Presencial,Full time,Otros,No especificado,False,False,144
alumnos en práctica/ shc coronel/cda/administración,sodimac,Presencial,Full time,Otros,No especificado,False,False,146
alumnos en práctica/ shc ñuñoa/febrero 26/cda/administración,sodimac,Presencial,Full time,Otros,No especificado,False,False,153
alumnos en práctica logistica rrhh administración prevencionistas,alumnos en práctica logistica rrhh administración prevencionistas,Presencial,Full time,Recursos Humanos,No especificado,False,False,150
alumnos en práctica área administración y contabilidad,alumnos en práctica área administración y contabilidad,Presencial,Full time,Otros,No especificado,False,False,138
"alumnos/as en práctica, administración","alumnos/as en práctica, administración",Presencial,Full time,Otros,No especificado,False,False,130
analista administración y control (financiero/automotriz),analista administración y control (financiero/automotriz),Remoto,Full time,Otros,No especificado,False,True,153
analista administración y relaciones laborales antofagasta,analista administración y relaciones laborales antofagasta,Presencial,Full time,Otros,No especificado,False,False,143
analista atracción del talento plazo fijo,itaú,Híbrido,Full time,Recursos Humanos,No especificado,False,False,203
analista bpo service,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
analista cpfr,watt's,Presencial,Full time,Otros,No especificado,False,False,195
analista comercial & operaciones e-commerce,colaboral,Presencial,Full time,Ventas / Comercial,No especificado,False,False,142
analista comercial & operaciones e-commerce,finden,Presencial,Full time,Ventas / Comercial,No especificado,False,False,139
analista comercial de ecommerce y marketplaces,confidencial,Remoto,Full time,Ventas / Comercial,No especificado,False,True,193
analista comercial,seguros sura,Híbrido,Full time,Ventas / Comercial,No especificado,False,False,196
analista comercio exterior- providencia,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,40
analista compensaciones sr. - cencosud,cencosud s.a.,Presencial,Full time,Otros,Senior,False,False,136
analista compras,"confidencial, talagante",Presencial,Full time,Otros,No especificado,False,False,93
analista contable - la florida - puente alto,byron sanguchería,Presencial,Full time,Otros,No especificado,False,False,153
analista contable senior / experiencia tributaria,analista contable senior / experiencia tributaria,Remoto,Full time,Data / BI,Senior,False,True,153
analista contable y administrativo/a,"servicios técnicos urbanos ltda., santiago",Presencial,Full time,Otros,No especificado,False,False,99
analista contable/financiero,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
analista contable: cuentas por cobrar y conciliaciones,hotel club la serena,Presencial,Full time,Otros,No especificado,False,False,153
analista contable,"ausdauer, santiago",Presencial,Full time,Otros,No especificado,False,False,96
analista contable,"avg consultores, santiago",Presencial,Full time,Otros,No especificado,False,False,115
analista contable,"gatel, santiago",Presencial,Full time,Otros,No especificado,False,False,105
analista contador auditor,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,136
analista control asistencia (planta producción),analista control asistencia (planta producción),Presencial,Full time,Data / BI,No especificado,False,False,141
analista control gestión (logística)- lampa,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,151
analista control de gestion,hyh,Presencial,Full time,Otros,No especificado,False,False,106
analista control de gestión,analista control de gestión,Presencial,Full time,Otros,No especificado,False,False,115
analista control de gestión,"terranorte, santiago",Presencial,Full time,Otros,No especificado,False,False,97
analista control de pagos operaciones logisticas,"importante empresa automotriz, santiago",Presencial,Full time,Otros,No especificado,False,False,110
analista control de gestión e impugnación,transportes rioja ltda.,Presencial,Otro,Otros,No especificado,False,False,171
analista cuadratura,analista cuadratura,Presencial,Full time,Otros,No especificado,False,False,105
analista datos e inteligencia de negocios,analista datos e inteligencia de negocios,Remoto,Full time,Data / BI,No especificado,True,True,146
